,,Remainder,,0,0,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Done,,731,731,689,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%Done,,100.0%,100.0%,94.3%,97.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#Yes,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Line,Type,Link,Const?,IsolateBound?,InitOnce?,ThreadSafe?,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/isolated_world_csp.cc,54,KURL,Link,No,No,Yes,No,Wraps WTF::String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/isolated_world_csp.cc,125,IsolatedWorldCSP,Link,No,Yes,No,N/A,Mutated here https://cs.chromium.org/chromium/src/third_party/blink/renderer/core/dom/document.cc?l=887&rcl=338c2c0a645e54907a88037a6726cb204bcbb050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/script_controller.cc,180,Vector<const char*>,Link,No,Yes,No,N/A,Mutated here https://cs.chromium.org/chromium/src/third_party/blink/renderer/bindings/core/v8/script_controller.cc?l=192&rcl=338c2c0a645e54907a88037a6726cb204bcbb050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_gc_for_context_dispose.cc,88,CustomCountHistogram,Link,No,No,No,Yes,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_gc_for_context_dispose.cc,111,V8GCForContextDispose,Link,No,Yes,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_initializer.cc,231,scoped_refptr<RejectedPromises>,Link,No,Yes,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_initializer.cc,584,ArrayBufferAllocator,Link,No,Yes,Yes,N/A,Sateless. Can probably be a local variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/core/css/properties/templates/css_property_subclass.h.tmpl,73,const AtomicString,Link,Yes,No,Yes,No,Not thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/core/css/templates/style_property_shorthand.cc.tmpl,57,StylePropertyShorthand,Link,No,No,Yes,Yes,Generated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/core/style/templates/computed_style_initial_values.h.tmpl,124,Persistent<FilterOperationsWrapper>,Link,No,Yes,Yes,N/A,"Isolate bound, generated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/templates/element_type_helpers.cc.tmpl,34,const HTMLTypeMap,Link,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/templates/feature_policy_helper.cc.tmpl,31,FeatureNameMap,Link,No,No,Yes,No,"Generated, HashMap<String, mojom::FeaturePolicyFeature>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/controller/blink_initializer.cc,83,std::unique_ptr<BlinkInitializer>,Link,No,Yes,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/controller/blink_initializer.cc,102,CustomCountHistogram,Link,No,No,No,Yes,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/controller/crash_memory_metrics_reporter_impl.cc,28,CrashMemoryMetricsReporterImpl,Link,No,Yes,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
