3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,0,0,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Done,,205,205,198,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%Done,,100.0%,100.0%,96.6%,85.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Line,Type,Link,Const?,IsolateBound?,ThreadBound?,InitOnce?,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_code_cache.cc,233,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/bindings/core/v8/v8_initializer.cc,566,Mutex,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/templates/instrumenting_probes_impl.cc.tmpl,24,Mutex,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/build/scripts/templates/origin_trials.cc.tmpl,21,TrialToFeaturesMap,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_value_pool.cc,36,ThreadSpecific<Persistent<CSSValuePool>>,Link,No,Yes,No,No,Meant to be Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face.cc,733,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/parser/css_parser_context.cc,184,ThreadSpecific<Persistent<CSSParserContext>>,Link,No,Yes,No,No,Meant to be Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/parser/css_parser_context.cc,186,ThreadSpecific<Persistent<CSSParserContext>>,Link,No,Yes,No,No,Meant to be Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,338,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,349,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,361,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,386,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,389,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,400,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,403,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,412,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,415,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,424,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,427,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,436,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,439,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,447,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/remote_font_face_source.cc,450,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/events/event_listener_map.cc,49,Mutex,Link,No,No,No,No,Mutex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/space_split_string.cc,172,ThreadSpecific<DataMap>,Link,No,No,Yes,No,TLS: Change if AtomicString is made thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/blob.cc,132,BlobURLRegistry,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/file_reader_loader.cc,219,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/file_reader_loader.cc,333,SparseHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/file_reader_sync.cc,67,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/public_url_manager.cc,64,BlobOriginMap,Link,No,No,No,No,Eventually gets assigned to g_url_origin_map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/fileapi/public_url_manager.cc,67,ThreadSpecific<BlobURLOriginMap>,Link,No,No,Yes,,Might want to be isolate bound?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/frame/navigator_id.cc,82,ThreadSpecific<String>,Link,No,No,Yes,Yes,TLS: Should be an atomic calc-and-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/html/media/html_media_element.cc,172,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/inspector/main_thread_debugger.cc,75,Mutex,Link,No,No,No,No,Protects a singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/layout/style_retain_scope.cc,15,ThreadSpecific<StyleRetainScope*>,Link,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/loader/resource/font_resource.cc,73,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/origin_trials/navigation_origin_trial_features.cc,17,HashSet<OriginTrialFeature>,Link,No,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/origin_trials/origin_trial_context.cc,35,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/svg/svg_element.cc,1146,HashSet<QualifiedName>,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/memory_info.cc,75,ThreadSpecific<HeapSizeCache>,Link,No,Yes,No,No,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance_entry.h,106,HashSet<PerformanceEntryType>,Link,No,No,No,,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance_user_timing.cc,47,ThreadSpecific<RestrictedKeyMap>,Link,No,No,Yes,Yes,TLS: Should be an atomic calc-and-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance_user_timing.cc,145,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance_user_timing.cc,241,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance.cc,82,Performance::UnifiedClock,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/timing/performance.cc,917,TimeClamper,Link,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/shared_worker_content_settings_proxy.cc,42,ThreadSpecific<mojom::blink::WorkerContentSettingsProxyPtr>,Link,No,No,Yes,,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/worker_backing_thread.cc,29,Mutex,Link,No,No,No,No,Mutex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/worker_thread.cc,78,Mutex,Link,No,No,No,No,Mutex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/worker_thread.cc,145,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/worker_thread.cc,376,HashSet<WorkerThread*>,Link,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/workers/worklet_thread_holder.h,55,Mutex,Link,No,No,No,No,Mutex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/bluetooth/bluetooth_uuid.cc,22,NameToAssignedNumberMap,Link,No,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/bluetooth/bluetooth_uuid.cc,71,NameToAssignedNumberMap,Link,No,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/bluetooth/bluetooth_uuid.cc,295,NameToAssignedNumberMap,Link,No,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/broadcastchannel/broadcast_channel.cc,24,ThreadSpecific<mojom::blink::BroadcastChannelProviderPtr>,Link,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/encryptedmedia/media_key_system_access_initializer_base.cc,202,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_object_store.cc,311,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_object_store.cc,546,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_request_loader.cc,133,SparseHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/indexed_db_dispatcher.cc,16,ThreadSpecific<IndexedDBDispatcher>,Link,No,No,Yes,,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/media_capabilities/media_capabilities.cc,254,const String,Link,Yes,No,No,,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/media_capabilities/media_capabilities.cc,282,const String,Link,Yes,No,No,,"Should be constexpr, and is a dupicated variable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/notification_image_loader.cc,26,CustomCountHistogram,Link,No,No,No,No,Histogram (actually a macro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/notification_manager.cc,160,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/service_worker_registration_notifications.cc,67,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_content_settings_proxy.cc,35,ThreadSpecific<mojom::blink::WorkerContentSettingsProxyPtr>,Link,No,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,390,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,397,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,429,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,433,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,439,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,815,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,823,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
