3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
,,Done,,400,452,452,452,,
,,%Done,,88.5%,100.0%,100.0%,100.0%,,
,,#Yes,,,32,,,,
File,Line,Variable,Link,Type,IsolateBound?,InitOnce?,ThreadSafe?,Notes,
third_party/blink/common/cache_storage/cache_storage_utils.cc,20,static base::AtomicSequenceNumber seq;,Link,Local,No,No,Yes,,
third_party/blink/common/experiments/memory_ablation_experiment.cc,47,static auto* instance = new MemoryAblationExperiment();,Link,Local,No,No,Yes,Singleton,
third_party/blink/common/origin_trials/trial_token_validator.cc,20,static base::NoDestructor<base::RepeatingCallback<blink::OriginTrialPolicy*()>>,Link,Local,No,Yes,No,Initialized in main,
third_party/blink/common/feature_policy/feature_policy.cc,334,static base::NoDestructor<FeatureList> default_feature_list(,Link,Local,No,Yes,Yes,Should be const,
third_party/blink/common/frame/user_activation_state_unittest.cc,28,static base::TimeTicks now_ticks_;,Link,Member,No,No,Yes,For testing,
third_party/blink/common/mime_util/mime_util.cc,176,static base::LazyInstance<MimeUtil>::Leaky g_mime_util =,Link,Global,No,Yes,Yes,Should be const,
third_party/blink/public/common/device_memory/approximated_device_memory.h,31,static float approximated_device_memory_gb_;,Link,Member,No,Yes,Yes,,
third_party/blink/public/common/device_memory/approximated_device_memory.h,32,static int64_t physical_memory_mb_;,Link,Member,No,Yes,Yes,,
third_party/blink/public/platform/web_prerendering_support.h,68,static WebPrerenderingSupport* platform_;,Link,Member,Yes,Yes,No,Singleton,WebPrerenderingSupport::Initialize
third_party/blink/renderer/bindings/core/v8/script_promise_resolver_test.cc,212,static int destructor_calls_;,Link,Member,Yes,No,Yes,For testing,
third_party/blink/renderer/bindings/core/v8/script_promise_resolver.cc,44,static crash_reporter::CrashKeyString<1024> trace_key(,Link,Local,No,Yes,No,Never used?,
third_party/blink/renderer/bindings/core/v8/script_streamer.h,133,static size_t small_script_threshold_;,Link,Member,No,Yes,Yes,Should be constexpr,
third_party/blink/renderer/bindings/core/v8/serialization/serialized_script_value_factory.h,66,static SerializedScriptValueFactory* instance_;,Link,Member,No,Yes,No,Singleton stateless,
third_party/blink/renderer/bindings/core/v8/serialization/serialized_script_value_fuzzer.cc,30,DummyPageHolder* g_page_holder = nullptr;,Link,Global,No,No,N/A,Fuzzer for testing,
third_party/blink/renderer/bindings/core/v8/serialization/serialized_script_value_fuzzer.cc,31,WebBlobInfoArray* g_blob_info_array = nullptr;,Link,Global,No,No,N/A,Fuzzer for testing,
third_party/blink/renderer/bindings/core/v8/serialization/serialized_script_value_fuzzer.cc,43,static BlinkFuzzerTestSupport fuzzer_support =,Link,Local,No,No,N/A,Fuzzer for testing,
third_party/blink/renderer/bindings/core/v8/v8_code_cache.cc,36,static uint32_t v8_cache_data_version =,Link,Local,No,Yes,Yes,Should be constexpr,
third_party/blink/renderer/bindings/core/v8/v8_initializer.cc,565,static int64_t process_total = 0;,Link,Local,Yes,No,No,Probably isolate bound,
third_party/blink/renderer/bindings/core/v8/v8_script_runner_test.cc,113,static int counter_;,Link,Member,No,No,N/A,For testing,
third_party/blink/renderer/bindings/templates/origin_trial_features_for_core.cc.tmpl,14,InstallOriginTrialFeaturesFunction g_old_install_origin_trial_features_function =,Link,Global,No,Probably,Yes,Should be DEFINE_STATIC_LOCAL,
third_party/blink/renderer/bindings/tests/results/core/origin_trial_features_for_core.cc,29,InstallOriginTrialFeaturesFunction g_old_install_origin_trial_features_function =,Link,Global,No,Probably,Yes,Should be DEFINE_STATIC_LOCAL,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_2.h,98,static InstallTemplateFunction install_v8_test_interface_2_template_function_;,Link,Member,No,Probably,Yes,Should be DEFINE_STATIC_LOCAL,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_check_security.cc,196,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_check_security.cc,239,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_check_security.cc,282,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_check_security.cc,325,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_check_security.cc,465,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_constructor.cc,454,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_event_target.cc,115,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_named_constructor_2.cc,124,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface_named_constructor.cc,199,static int dom_template_key; // This address is used for a key to look up the dom template.,Link,Local,No,Yes,Yes,,
third_party/blink/renderer/bindings/tests/results/core/v8_test_interface.h,266,static InstallTemplateFunction install_v8_test_interface_template_function_;,Link,Member,No,Probably,Yes,Should be DEFINE_STATIC_LOCAL,
